NEW_CUST_DATA,NAME_SUB_BANK_CD,SURNAME,FIRST_NAME,MIDDLE_NAME,NAME_LINE_TYP_CD,DOB,GENDER_CD,MARIT_CD,CUST_TYPE,BUSI_TYPE,HOUSE_NO,ADDR,GROUP,SOI,ROAD,DISTRICT,AMPHUR,CITY_CD,CITY,ZIP_CD,CTRY_CD,CUST_ID_TYP1,CUST_ID1,CUST_ID_TYP2,CUST_ID2,CUST_TAX_ID,PH_TYP_CD1,PH_NBR1,PH_EXT1,PH_TYP_CD2,PH_NBR2,PH_EXT2,PH_TYP_CD3,PH_NBR3,PH_EXT3,PH_TYP_CD4,PH_NBR4,PH_EXT4,PH_TYP_CD5,PH_NBR5,PH_EXT5,PH_TYP_CD6,PH_NBR6,PH_EXT6,RET_CUST_NBR,RET_CUST_FLAG,AS_OF,NATIONALITY,EDUCATION_LEVEL,OCCUPATION,RET_STATUS,ERROR_FIELD_FLAG,CUST_ID_TYP_OLD,CUST_ID_OLD,FILLER_00001,DATA_DATE
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,15678932145,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,13590532716,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,13590532716,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,13590532716,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",Tony,Jack,middle,P,20000101,F,M,PH,1061,,,,,,,,,,,PH,16,100001,16,,100001,M,15713692132,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,PH,,1140,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,15146280179,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,18682719345,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,18743206758,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,15634728695,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
"1,00E+11","SB FINANCE COMPANY,",fasdf,adsf,Lisa,P,20000101,F,,VNM,1061,,,,,,,,,,,PH,16,9876543210,16,,9876543210,M,18514032785,,R,,,B,,,,,,,,,,"1,00E+11",,,,20301107,VNM,,,,,,,,20301107
